Yellow Fever,Viral hemorrhagic fever,A95,Fever;Jaundice;Muscle pain;Nausea;Vomiting,Severe,Blood tests;Liver function,Supportive care;Vaccination,Travelers to endemic areas,Acute,Adults,Enlarged liver;Hepatic inflammation on USG
Ebola Virus,Viral hemorrhagic fever,A98,Fever;Severe weakness;Diarrhea;Vomiting;Bleeding;Multi-organ failure,Severe,Blood tests;PCR,Supportive care,Isolation of infected,Acute,Adults,Multi-organ involvement on CT
Alzheimer's Disease,Progressive neurodegenerative disorder,G30,Memory loss;Disorientation;Language impairment;Behavior changes,Severe,MMSE;MRI brain;PET scan,Cholinesterase inhibitors;Supportive care,Parkinson's;Stroke,Gradual,Elderly,Brain atrophy on MRI
Parkinson's Disease,Degenerative movement disorder,G20,Tremor at rest;Bradykinesia;Rigidity;Balance problems,Moderate-Severe,Neurological exam;MRI brain;DAT scan,Levodopa;Dopamine agonists;Physical therapy,Depression;Dementia,Gradual,Elderly,Reduced substantia nigra signal on MRI
Epilepsy,Neurological disorder with seizures,G40,Seizures;Loss of consciousness;Aura;Confusion after episode,Moderate-Severe,EEG;MRI brain,Anticonvulsants,Head trauma;Brain tumor,Acute or chronic,Children & Adults,EEG: Epileptiform discharges
Stroke (Ischemic/Hemorrhagic),Acute cerebrovascular event,I63-I61,Sudden numbness;Confusion;Trouble speaking;Vision problems;Severe headache,Severe,CT/MRI brain;Blood tests,Thrombolysis;Surgery;Antiplatelets,Hypertension;Atrial fibrillation,Acute,Adults over 50,CT: Infarct or hemorrhage
Heart Disease (Ischemic),Coronary artery obstruction,I25,Chest pain;Shortness of breath;Fatigue;Palpitations,Severe,ECG;Troponins;Echocardiography,Statins;PCI;Lifestyle modification,Hypertension;Diabetes,Gradual,Adults over 40,ECG: ST changes;Echo: Wall motion abnormality
Myocardial Infarction,Acute heart attack,I21,Severe chest pain;Radiating arm/jaw pain;Shortness of breath;Nausea;Cold sweat,Severe,ECG;Troponins;Coronary angiography,PCI;Thrombolysis;Antiplatelets,Hypertension;Diabetes,Acute,Adults over 40,ECG: ST elevation
Chronic Kidney Disease,Progressive renal failure,N18,Fatigue;Edema;Changes in urination;Nausea;Itching,Severe,Blood urea;Creatinine;Urinalysis,Dialysis;ACE inhibitors;Diet modification,Diabetes;Hypertension,Gradual,Adults over 40,Small kidneys on ultrasound
Liver Cirrhosis,Chronic liver damage,K74,Jaundice;Ascites;Fatigue;Loss of appetite;Easy bruising,Severe,Liver function tests;Ultrasound;CT,Liver transplant;Diet;Avoid alcohol,Hepatitis;Alcohol abuse,Gradual,Adults over 40,Shrunken liver;Ascites on USG
Hepatitis B,Chronic viral liver infection,B18,Fever;Fatigue;Jaundice;Abdominal pain;Dark urine,Moderate-Severe,HBsAg;Liver function tests,Antivirals,HIV;Liver cirrhosis,Gradual,Adults,Elevated liver enzymes;USG normal
Hepatitis C,Chronic viral liver infection,B18,Fatigue;Jaundice;Abdominal discomfort,Moderate,Liver function tests;HCV RNA,Direct-acting antivirals,Liver cirrhosis;Hepatocellular carcinoma,Gradual,Adults,Elevated liver enzymes
Pancreatic Cancer,Malignant pancreatic tumor,C25,Abdominal pain;Weight loss;Indigestion;Jaundice,Severe,CT abdomen;CA19-9,Surgery;Chemotherapy,Diabetes;Chronic pancreatitis,Gradual,Adults over 50,Mass on imaging
Colorectal Cancer,Malignant colorectal tumor,C18-C20,Change in bowel habits;Constipation/diarrhea;Rectal bleeding,Severe,Colonoscopy;CT;CEA,Surgery;Chemotherapy,IBD;Family history,Gradual,Adults over 50,Tumor on colonoscopy
Breast Cancer,Malignant breast tumor,C50,Painless lump;Nipple changes;Skin dimpling,Severe,Mammogram;Biopsy,Surgery;Chemotherapy;Hormonal therapy,Family history;BRCA mutation,Gradual,Women over 40,Mass on mammogram
Cervical Cancer,Malignant cervical tumor,C53,Abnormal vaginal bleeding;Pelvic pain;Discharge,Severe,Pap smear;Colposcopy;Biopsy,Surgery;Radiotherapy;Chemotherapy,HPV infection,Gradual,Women over 30,Lesion on colposcopy
Prostate Cancer,Malignant prostate tumor,C61,Urgency;Frequency;Weak stream;Hematuria,Severe,PSA;Biopsy;MRI,Surgery;Radiotherapy;Hormonal therapy,Older men;Family history,Gradual,Men over 50,Enlarged prostate on MRI
Ovarian Cancer,Malignant ovarian tumor,C56,Abdominal bloating;Pelvic pain;Ascites,Severe,Ultrasound;CT;CA-125,Surgery;Chemotherapy,BRCA mutation,Gradual,Women over 40,Complex ovarian mass on USG
Leukemia (Chronic),Chronic blood cancer,C91,CML: Fatigue;Weight loss;Anemia,Moderate-Severe,Blood counts;Bone marrow biopsy,Tyrosine kinase inhibitors,Immunodeficiency;Genetic,Gradual,Adults,Elevated WBC;Bone marrow hypercellularity
Lymphoma (Hodgkin),Lymphatic malignancy,C81,Enlarged lymph nodes;Fever;Night sweats;Weight loss,Severe,CT;Lymph node biopsy,Chemotherapy;Radiotherapy,Immunodeficiency,Gradual,Adults,Enlarged lymph nodes on CT
Rheumatic Heart Disease,Post-streptococcal valve damage,I09,Fatigue;Shortness of breath;Murmur,Moderate-Elevated,Echocardiography;ECG,Valve replacement;Medical management,Heart failure,Gradual,Children & Adults,Valve thickening on echo
Congestive Heart Failure,Chronic heart failure,I50,Shortness of breath;Edema;Fatigue;Orthopnea,Severe,Echocardiography;BNP,Diuretics;ACE inhibitors;Lifestyle,Hypertension;MI,Gradual,Adults over 50,Cardiomegaly on X-ray
Peripheral Artery Disease,Arterial narrowing,I73,Leg pain on walking;Numbness;Ulcers,Moderate-Anemia,ABI;Doppler,Exercise;Surgery;Medication,Diabetes;Smoking,Gradual,Adults over 50,Reduced blood flow on Doppler
Deep Vein Thrombosis,Venous clot,I82,Leg swelling;Pain;Redness;Warmth,Severe,Doppler ultrasound;D-dimer,Anticoagulants;Compression stockings,Recent surgery;Cancer,Acute,Adults,Clot visible on Doppler
Gout,Metabolic arthritis,M10,Joint pain;Swelling;Redness;Tophi,Moderate,Blood uric acid;Joint aspiration,NSAIDs;Colchicine;Lifestyle,CKD;Hypertension,Acute,Adults over 40,Joint effusion;Crystal deposition on X-ray
Osteoarthritis,Degenerative joint disease,M15-M19,Joint pain;Stiffness;Crepitus,Moderate,Blood tests;X-ray,NSAIDs;Physiotherapy;Joint replacement,Obesity;Previous injury,Gradual,Adults over 50,Joint space narrowing on X-ray
Osteoporosis,Bone density loss,M81,Fractures;Back pain;Height loss,Moderate-Bone density scan,DEXA scan;Calcium/Vitamin D,Bisphosphonates;Exercise;Lifestyle,Postmenopausal women;Elderly,Gradual,Bone demineralization on DEXA,none
Hyperthyroidism,Overactive thyroid,E05,Weight loss;Palpitations;Heat intolerance;Sweating,Moderate-Severe,TSH;T3/T4,Antithyroid drugs;Radioiodine therapy,Graves' disease;Atrial fibrillation,Gradual,Adults,Enlarged thyroid on USG
Hypothyroidism,Underactive thyroid,E03,Fatigue;Weight gain;Cold intolerance;Constipation,Moderate,TSH;T3/T4,Levothyroxine,Hashimoto’s disease,Gradual,Adults,Normal or small thyroid on USG
Cushing's Syndrome,Excess cortisol,E24,Weight gain;Fatigue;Hypertension;Buffalo hump,Moderate-Blood cortisol;ACTH,Medication;Surgery,Pituitary tumor;Adrenal adenoma,Gradual,Adults,Adrenal enlargement on imaging,none
Addison's Disease,Cortisol deficiency,E27,Fatigue;Weight loss;Hypotension;Hyperpigmentation,Severe,ACTH stimulation test,Glucocorticoids,Autoimmune adrenalitis,Gradual,Adults,Small adrenal glands on CT
Parkinson-plus Syndromes,Neurodegenerative disorders,G21,Tremor;Rigidity;Postural instability;Cognitive decline,Severe,Neurological exam;MRI brain,Symptomatic therapy,Older adults,Gradual,Elderly,Atrophy on MRI
Multiple Sclerosis,Autoimmune demyelination,G35,Visual disturbances;Weakness;Sensory changes;Fatigue,Moderate-Severe,MRI brain;CSF analysis,Immunomodulators;Steroids,Other autoimmune diseases,Gradual,Adults 20-50,White matter lesions on MRI
Guillain-Barré Syndrome,Acute neuropathy,G61,Weakness;Paresthesia;Loss of reflexes,Severe,Nerve conduction study;CSF analysis,IVIG;Plasmapheresis,Recent infection,Acute,Adults,Peripheral nerve demyelination
Amyotrophic Lateral Sclerosis,Progressive motor neuron disease,G12,Muscle weakness;Fasciculations;Dysarthria;Respiratory difficulty,Severe,EMG;MRI,Supportive care;Riluzole,Spinal cord degeneration,Gradual,Adults over 50,Muscle wasting on EMG
Huntington's Disease,Inherited neurodegenerative disorder,G10,Chorea;Cognitive decline;Behavior changes,Severe,Genetic testing;MRI,Supportive care;Symptomatic treatment,Family history,Gradual,Adults,Striatal atrophy on MRI
Migraine,Neurological headache disorder,G43,Severe headache;Nausea;Photophobia;Aura,Moderate,Clinical history;MRI brain,Triptans;NSAIDs;Lifestyle,Women;Family history,Acute,Adults,Normal imaging
Cluster Headache,Severe headache disorder,G44,Excruciating unilateral headache;Tearing;Nasal congestion,
Alzheimer's Disease,Progressive neurodegeneration,G30,Memory loss;Disorientation;Language impairment;Behavior changes;Poor judgment,Severe,MMSE;MRI brain;PET scan,Cholinesterase inhibitors;Supportive care,Age-related;Family history,Gradual,Older adults,MRI: Cortical atrophy
Parkinson's Disease,Neurodegenerative movement disorder,G20,Tremor at rest;Bradykinesia;Rigidity;Balance problems;Speech changes,Moderate-Severe,Clinical exam;MRI;DaTscan,Levodopa;Dopamine agonists;Physiotherapy,Older adults,Gradual,Adults over 50,Normal early;Loss of substantia nigra on imaging
Epilepsy,Chronic seizure disorder,G40,Seizures;Loss of consciousness;Confusion post-seizure;Aura in some cases,Moderate-Severe,EEG;MRI brain;Blood tests,Antiepileptic drugs,Head trauma;Genetic predisposition,Acute or recurrent,Children & Adults,EEG: Epileptiform discharges
Chronic Kidney Disease,Progressive renal dysfunction,N18,Fatigue;Edema;Changes in urination;Nausea;Itching;Anorexia,Severe,Blood tests;Urinalysis;Ultrasound,Diet modification;Dialysis;Transplant,Diabetes;Hypertension,Gradual,Adults over 50,Small/shrunken kidneys on USG
Liver Cirrhosis,Chronic liver scarring,K74,Jaundice;Ascites;Fatigue;Loss of appetite;Easy bruising;Itchy skin,Severe,Liver function tests;Ultrasound;CT,Meds for complications;Liver transplant,Hepatitis;Alcohol use,Gradual,Adults 40-70,Shrunken nodular liver on USG
Hepatitis (Viral),Liver inflammation,B15-B19,Fever;Fatigue;Jaundice;Abdominal pain;Dark urine;Nausea,Moderate,Blood tests;Serology,Supportive care;Antivirals,HIV;Liver disease,Acute,All ages,Enlarged liver on USG
Pancreatic Cancer,Malignant pancreatic tumor,C25,Upper abdominal pain;Weight loss;Indigestion;Jaundice,Severe,CT;MRI;Endoscopic ultrasound,Surgery;Chemotherapy;Radiotherapy,Diabetes;Chronic pancreatitis,Gradual,Adults over 50,Pancreatic mass on CT
Colorectal Cancer,Malignant large intestine tumor,C18-C20,Change in bowel habits;Rectal bleeding;Abdominal discomfort;Weight loss,Severe,Colonoscopy;CT;CEA test,Surgery;Chemotherapy;Radiotherapy,IBD;Family history,Gradual,Adults over 50,Mass lesion on colonoscopy/CT
Breast Cancer,Female breast malignancy,C50,Painless lump;Skin dimpling;Nipple retraction;Discharge,Severe,Mammography;Ultrasound;Biopsy,Surgery;Chemotherapy;Hormone therapy,Family history;BRCA mutation,Gradual,Women over 40,Mass lesion on mammogram
Ovarian Cancer,Malignant ovarian tumor,C56,Abdominal bloating;Pelvic pain;Ascites;Urinary changes,Severe,Ultrasound;CT;CA-125,Surgery;Chemotherapy,Family history;BRCA mutation,Gradual,Women over 40,Complex ovarian mass on USG
Prostate Cancer,Malignant prostate tumor,C61,Urinary frequency;Hesitancy;Hematuria;Pelvic pain,Severe,PSA test;Ultrasound;Biopsy,Surgery;Radiotherapy;Hormone therapy,Older men;Family history,Gradual,Men over 50,Prostate mass on imaging
Heart Disease (Ischemic),Coronary artery disease,I25,Chest pain;Shortness of breath;Fatigue;Palpitations,Severe,ECG;Troponin;Angiography,Lifestyle changes;Medications;Angioplasty,Hypertension;Diabetes,Gradual,Adults over 40,ECG changes;Coronary blockages
Myocardial Infarction,Acute heart attack,I21,Severe chest pain;Radiating arm/jaw pain;Shortness of breath;Nausea;Cold sweat,Severe,ECG;Troponin;Coronary angiography,Immediate PCI;Medications,Heart disease;Diabetes,Acute,Adults over 40,ECG: ST elevation;Troponin rise
Stroke (Ischemic/Hemorrhagic),Brain infarction/bleeding,I63-I64,Sudden numbness;Confusion;Trouble speaking;Vision problems;Severe headache,Severe,CT/MRI brain;Blood tests;Carotid Doppler,Thrombolysis;Surgery;Rehabilitation,Hypertension;Atrial fibrillation,Acute,Adults over 50,CT/MRI: Infarct or bleed
Hypertensive Heart Disease,Heart complication from high BP,I11,Shortness of breath;Fatigue;Chest pain;Palpitations,Moderate-Severe,ECG;Echocardiography,Blood pressure control;Medications,Hypertension;Diabetes,Gradual,Adults over 50,LVH on echocardiogram
Heart Failure,Chronic heart pump failure,I50,Shortness of breath;Fatigue;Peripheral edema;Cough,Severe,Echocardiography;BNP test,Diuretics;ACE inhibitors;Lifestyle modification,Hypertension;Diabetes,Gradual,Adults over 50,Enlarged heart on CXR
Peripheral Arterial Disease,Arterial blockage in limbs,I73,Leg pain on walking;Numbness;Cold feet,Moderate-Ankle brachial index;Doppler,Exercise therapy;Medications;Surgery,Diabetes;Smoking,Gradual,Adults over 50,Reduced arterial flow on Doppler,none
Deep Vein Thrombosis,Blood clot in deep veins,I82,Leg swelling;Pain;Redness;Warmth,Severe,Doppler ultrasound;D-dimer,Anticoagulation;Compression stockings,Recent surgery;Cancer,Acute,Adults,Clot visible on ultrasound
Atrial Fibrillation,Irregular heart rhythm,I48,Palpitations;Shortness of breath;Fatigue;Dizziness,Moderate,ECG;Holter monitor,Rate/rhythm control;Anticoagulation,Hypertension;Heart disease,Gradual,Adults over 50,Irregular ECG
Hyperlipidemia,High cholesterol,E78,Asymptomatic;Xanthomas;Chest pain (rare),Mild-Moderate,Blood lipid panel,Diet;Statins;Lifestyle,Heart disease;Diabetes,Gradual,Adults over 40,Normal or lipid deposits
Obesity,Excess body fat,E66,Weight gain;Fatigue;Joint pain,Mild-Moderate,BMI calculation;Labs,Diet;Exercise;Medications,Diabetes;Hypertension,Gradual,Adults,Normal
Osteoarthritis,Degenerative joint disease,M15-M19,Joint pain;Stiffness;Reduced mobility;Swelling,Moderate,Physical exam;X-ray,NSAIDs;Physiotherapy;Joint replacement,Obesity;Joint injury,Gradual,Adults over 50,X-ray: joint space narrowing
Osteoporosis,Bone density loss,M81,Fractures;Back pain;Stooped posture,Moderate,Bone density scan,Calcium & Vitamin D;Bisphosphonates,Postmenopausal women;Elderly,Gradual,Older adults,Low bone density on DEXA
Gout,Uric acid crystal deposition,M10,Severe joint pain;Swelling;Redness;Fever,Moderate-High,Blood uric acid;Joint aspiration,NSAIDs;Allopurinol;Diet control,Obesity;Diabetes,Acute,Adults,Joint erosion & crystals on X-ray
Psoriasis,Chronic autoimmune skin disease,L40,Red scaly plaques;Itching;Nail changes,Moderate-High,Clinical exam;Skin biopsy,Topical steroids;Biologics,Arthritis;Metabolic syndrome,Gradual,Adults,Red plaques;Silvery scales
Atopic Dermatitis,Chronic inflammatory skin disease,L20,Itching;Redness;Dry skin;Excoriation,Moderate,Clinical exam,Topical steroids;Moisturizers;Antihistamines,Asthma;Allergic rhinitis,Chronic,Children & Adults,Red patches;Excoriation
Acne Vulgaris,Common skin disorder,L70,Pustules;Papules;Comedones;Scarring,Mild-Moderate,Clinical exam,Topical retinoids;Antibiotics,Polycystic ovary syndrome,Gradual,Teenagers & Young adults,Pustules & nodules on face
Dermatitis Herpetiformis,Autoimmune skin disorder,L13,Itchy papules;Blisters;Rash,Moderate-High,Clinical exam;Skin biopsy,Gluten-free diet;Dapsone,Celiac disease,Gradual,Adults,Grouped vesicles on elbows/knees
Vitiligo,Depigmentation of skin,L80,White patches;Loss of pigmentation,Moderate,Clinical exam,Topical steroids;Phototherapy,Autoimmune diseases,Gradual,All ages,Depigmented patches
Rheumatoid Arthritis,Chronic autoimmune joint inflammation,M06,Joint pain;Swelling;Morning stiffness;Fatigue;Symmetrical joint involvement,Moderate-High,RF & anti-CCP antibodies;X-ray joints;MRI,DMARDs;Biologics;Physiotherapy,Other autoimmune diseases,Gradual,Adults 30-60,X-ray: joint erosions
Systemic Lupus Erythematosus,Multisystem autoimmune disease,M32,Fever;Malar rash;Arthritis;Fatigue;Photosensitivity,Moderate-High,ANA;Anti-dsDNA;CBC;Urinalysis,Corticosteroids;Immunosuppressants,Other autoimmune disorders,Gradual,Women 15-45,Butterfly rash;Kidney involvement on labs
Multiple Sclerosis,Chronic demyelinating CNS disorder,G35,Vision changes;Weakness;Numbness;Balance issues;Fatigue,Moderate-High,MRI brain & spine;CSF analysis;Evoked potentials,Immunomodulators;Rehabilitation,Autoimmune disorders,Gradual,Young adults 20-40,MRI: White matter lesions
Guillain-Barre Syndrome,Acute autoimmune neuropathy,G61,Progressive muscle weakness;Paresthesia;Areflexia;Respiratory difficulty,Severe,Electromyography;CSF analysis;Nerve conduction studies,IVIG;Plasmapheresis,Recent infection,Acute,All ages,Normal early;Nerve conduction slowed
Myasthenia Gravis,Neuromuscular junction disorder,G70,Fatigue;Muscle weakness;Drooping eyelids;Difficulty swallowing,Moderate-High,ACh receptor antibodies;EMG;CT chest,Acetylcholinesterase inhibitors;Immunosuppressants,Thymoma,Gradual,Young adults 20-40,Thymic mass on CT
Type 1 Diabetes,Autoimmune pancreatic beta-cell destruction,E10,Polyuria;Polydipsia;Weight loss;Fatigue,Severe,Blood glucose;HbA1c;Autoantibodies,Insulin therapy;Diet modification,Other autoimmune disorders,Acute,Children & Young adults,Normal pancreas;High glucose
Cushing's Syndrome,Excess cortisol production,E24,Weight gain;Moon face;Hypertension;Purple striae;Muscle weakness,Moderate-High,Blood cortisol;ACTH;Imaging of adrenal/pituitary,Surgery;Medications,Diabetes;Hypertension,Gradual,Adults,Adrenal mass on CT
Addison's Disease,Adrenal insufficiency,E27,Fatigue;Weight loss;Hyperpigmentation;Hypotension;Nausea,Severe,ACTH stimulation test;Electrolytes,Glucocorticoid replacement;Mineralocorticoid replacement,Autoimmune diseases,Gradual,Adults,Small adrenal glands on imaging
Hyperthyroidism,Overactive thyroid,E05,Weight loss;Palpitations;Heat intolerance;Tremors;Goiter,Moderate,Blood T3/T4/TSH;Thyroid scan,Antithyroid drugs;Radioactive iodine,Graves disease,Gradual,Adults,Enlarged thyroid on ultrasound
Hypothyroidism,Underactive thyroid,E03,Fatigue;Weight gain;Cold intolerance;Constipation;Dry skin,Moderate,Blood TSH/T4,Levothyroxine,Autoimmune thyroiditis,Gradual,Adults & elderly,Small thyroid;Heterogeneous on USG
Diabetic Ketoacidosis,Acute hyperglycemic crisis,E10.1,Elevated blood sugar;Vomiting;Dehydration;Abdominal pain;Kussmaul respiration,Severe,Blood glucose;ABG;Urinalysis,IV fluids;Insulin therapy;Electrolyte replacement,Type 1 diabetes,Acute,Children & young adults,Hyperglycemia;Ketones in urine
Hyperosmolar Hyperglycemic State,Acute hyperglycemic crisis,E11.0,Extreme hyperglycemia;Dehydration;Altered consciousness;Polyuria,Severe,Blood glucose;Electrolytes;ABG,IV fluids;Insulin therapy;Electrolyte replacement,Type 2 diabetes,Acute,Adults over 50,Severe hyperglycemia
Chronic Obstructive Pulmonary Disease,Progressive airflow limitation,J44,Chronic cough;Sputum production;Dyspnea;Wheezing,Moderate-Severe,Spirometry;Chest X-ray;CT,Lifestyle changes;Bronchodilators;Oxygen therapy,Smoking;Asthma,Gradual,Adults over 40,Hyperinflated lungs on X-ray
Pulmonary Fibrosis,Chronic lung scarring,J84,Dry cough;Dyspnea;Fatigue;Clubbing,Moderate-Severe,HRCT;Pulmonary function test,Antifibrotic agents;Oxygen therapy,Autoimmune disorders,Gradual,Adults 50-70,Honeycombing on HRCT
Tuberculosis,Infectious mycobacterial disease,A15-A19,Cough >2 weeks;Fever;Night sweats;Weight loss;Hemoptysis,Moderate-Severe,Sputum smear/culture;Chest X-ray,Antitubercular therapy,HIV;Malnutrition,Gradual,All ages,CXR: Upper lobe infiltrates;Cavitation
Pneumonia,Acute lung infection,J18,Fever;Cough;Dyspnea;Sputum production;Chest pain,Moderate-Severe,Chest X-ray;CBC;Blood cultures,Antibiotics;Supportive care,Chronic lung disease,Acute,All ages,CXR: Consolidation
Asthma Exacerbation,Acute worsening of chronic asthma,J45,Shortness of breath;Wheezing;Cough;Chest tightness,Moderate-Severe,Spirometry;Peak flow,Inhaled bronchodilators;Corticosteroids,Allergic rhinitis,Acute,Children & adults,Hyperinflation on X-ray
Acute Bronchitis,Inflammatory airway infection,J20,Cough;Sputum;Fever;Fatigue,Mild-Moderate,Clinical exam;CXR,Supportive care,Smoking;Viral infection,Acute,All ages,Normal or mild peribronchial markings
Influenza,Acute viral respiratory infection,J10,Fever;Cough;Sore throat;Body aches;Fatigue,Mild-Moderate,Rapid antigen test;PCR,Antivirals;Supportive care,Elderly;Chronic lung disease,Acute,All ages,Normal
COVID-19,Acute viral infection,U07.1,Fever;Cough;Shortness of breath;Loss of taste/smell;Fatigue,Moderate-Severe,PCR;Chest CT,Supportive care;Oxygen therapy;Antivirals,Diabetes;Hypertension,Acute,Adults,Ground-glass opacities on CT
Sepsis,Systemic inflammatory response to infection,A41,Fever;Hypotension;Tachycardia;Confusion;Organ dysfunction,Severe,Blood cultures;Lactate;CBC,IV fluids;Antibiotics;Vasopressors,Immunocompromised,Acute,All ages,Organ hypoperfusion on imaging
HIV Infection,Chronic viral infection,B20,Fever;Weight loss;Fatigue;Lymphadenopathy;Opportunistic infections,Moderate-High,HIV serology;CD4 count;Viral load,Antiretroviral therapy,Other STIs,Gradual,Adults,Normal early;Opportunistic infection signs
Malaria,Parasitic infection,B50-B54,Fever;Chills;Sweating;Fatigue;Headache,Moderate,Blood smear;Rapid antigen test,Antimalarial therapy,Travel to endemic regions,Acute,All ages,Parasites on blood smear
Dengue,Fever with hemorrhagic manifestations,A90-A91,Fever;Rash;Myalgia;Retro-orbital pain;Bleeding,Moderate-High,Blood counts;Serology,Supportive care;Fluids,Travelers;Immunocompromised,Acute,Children & adults,Low platelet counts
Chikungunya,Fever and joint pain,A92.0,Fever;Joint pain;Rash;Fatigue,Moderate,Blood serology;PCR,Supportive care,Travelers,Acute,All ages,Normal
Lyme Disease,Borrelia bacterial infection,A69.2,Red rash (erythema migrans);Fever;Fatigue;Arthralgia,Moderate,Blood serology;PCR,Antibiotics,Outdoor exposure,Gradual,All ages,Rash;Joint inflammation on imaging
Hepatitis B,Chronic viral hepatitis,B18.1,Fatigue;Jaundice;Abdominal pain;Nausea,Moderate-High,Blood tests;HBsAg;HBV DNA,Antivirals,HIV;Liver disease,Gradual,Adults,Liver inflammation on USG
Hepatitis C,Chronic viral hepatitis,B18.2,Fatigue;Jaundice;Dark urine;Abdominal pain,Moderate-High,Blood tests;HCV RNA,Antivirals,Alcohol use;Liver disease,Gradual,Adults,Liver inflammation on USG
Leukemia,Malignant hematologic disorder,C91-C95,Fatigue;Fever;Bleeding;Anemia;Bone pain,Severe,CBC;Bone marrow biopsy;Flow cytometry,Chemotherapy;Bone marrow transplant,Genetic predisposition,Gradual,Children & adults,Bone marrow infiltration on imaging
Lymphoma,Malignant lymphoid disorder,C81-C85,Lymphadenopathy;Fever;Night sweats;Weight loss,Severe,Lymph node biopsy;Imaging,Chemotherapy;Radiotherapy,Immunodeficiency,Gradual,Adults,Lymph node enlargement on CT
Anemia,Reduced red blood cells,D50-D64,Fatigue;Pallor;Shortness of breath;Dizziness,Mild-Moderate,CBC;Iron studies;B12/B9,Iron supplementation;Vitamin replacement,Chronic kidney disease;Malnutrition,Gradual,All ages,Pallor on exam
Thalassemia,Genetic hemoglobin disorder,D56,Fatigue;Pallor;Jaundice;Bone deformities,Moderate-High,CBC;Hemoglobin electrophoresis,Blood transfusion;Chelation therapy,Genetic,Gradual,Children,Bone marrow hyperplasia on X-ray
Sickle Cell Disease,Genetic hemoglobinopathy,D57,Pain crises;Fatigue;Jaundice;Infections,Moderate-High,CBC;Hemoglobin electrophoresis,Pain management;Hydroxyurea;Transfusion,Genetic,Acute & chronic,Children,Bone infarcts on imaging
Hemophilia,Bleeding disorder,D66-D68,Spontaneous bleeding;Joint bleeding;Bruising,Moderate,CBC;Coagulation profile,Factor replacement therapy,Genetic,Acute,Children,Bleeding into joints on imaging
Common Cold,Acute viral upper respiratory infection,J00,Sneezing;Runny nose;Sore throat;Cough;Mild fever,Mild,Clinical exam,Supportive care;Rest;Fluids,None,Acute,All ages,Normal
Gastroenteritis,Inflammation of the stomach and intestines,A09,Diarrhea;Vomiting;Abdominal cramps;Fever,Mild-Moderate,Stool analysis;CBC,Hydration;Antiemetics,Recent food intake,Acute,All ages,Normal
Urinary Tract Infection,Infection of urinary tract,N39.0,Dysuria;Frequency;Urgency;Suprapubic pain,Mild-Moderate,Urine analysis;Urine culture,Antibiotics;Hydration,Diabetes;Female sex,Acute,Women;Children,Normal
Hypertension,Chronic elevation of blood pressure,I10,Headache;Dizziness;Blurred vision,Moderate,Blood pressure measurement;Blood tests,Lifestyle changes;Antihypertensive medications,Heart disease;Kidney disease,Gradual,Adults over 40;Family history,Normal
Type 2 Diabetes,Metabolic disorder with high blood sugar,E11,Increased thirst;Frequent urination;Fatigue,Severe,Blood glucose test;HbA1c test,Insulin therapy;Diet modification,Obesity;Hypertension,Gradual,Adults over 40;Obese individuals,Normal
Hyperlipidemia,High cholesterol and triglycerides,E78,Asymptomatic;Xanthomas;Chest discomfort,Mild-Moderate,Blood lipid profile,Diet modification;Statins,Obesity;Hypertension,Gradual,Adults over 40,Normal
Obesity,Excess body weight,E66,Weight gain;Fatigue;Shortness of breath,Mild-Moderate,BMI calculation;Labs,Diet;Exercise;Lifestyle modification,Type 2 diabetes;Hypertension,Gradual,Adults,Normal
Asthma,Chronic inflammatory airway disease,J45,Shortness of breath;Wheezing;Cough,Mild-Significant,Spirometry;Allergy tests,Inhaled corticosteroids;Bronchodilators,Allergic rhinitis;Eczema,Acute;Chronic,Children;Allergy-prone adults,Normal
Chronic Bronchitis,Inflammatory lung disease,J42,Chronic cough;Sputum production;Shortness of breath,Moderate,Spirometry;Chest X-ray,Lifestyle changes;Bronchodilators,Smoking;COPD,Gradual,Adults over 40,Hyperinflated lungs
Osteoarthritis,Degenerative joint disease,M19,Joint pain;Stiffness;Swelling;Reduced mobility,Moderate,Clinical exam;X-ray,Analgesics;Physiotherapy;Joint injections,Obesity;Age,Gradual,Adults over 50,Joint space narrowing on X-ray
Gout,Metabolic arthritis,M10,Joint pain;Redness;Swelling;Tophi formation,Moderate,Blood uric acid;Joint aspiration,NSAIDs;Colchicine;Diet modification,Hypertension;Obesity,Acute,Adults 40-60,Tophi on imaging
Depression,Mood disorder,F32,Sadness;Loss of interest;Fatigue;Sleep disturbance,Moderate,Clinical assessment;Questionnaires,SSRIs;Psychotherapy,Anxiety;Chronic illness,Gradual,Adults,Normal
Anxiety Disorder,Chronic anxiety,F41,Worry;Restlessness;Palpitations;Sleep disturbance,Moderate,Clinical assessment;Questionnaires,Cognitive-behavioral therapy;SSRIs,Depression;Chronic stress,Gradual,Adults,Normal
Migraine,Neurological headache disorder,G43,Pulsatile headache;Nausea;Photophobia;Aura,Moderate,Clinical assessment;MRI brain,Triptans;Pain management;Lifestyle modification,Stress;Hormonal changes,Acute,Adults,Normal MRI
Gastritis,Inflammation of stomach lining,K29,Abdominal pain;Nausea;Vomiting;Bloating,Mild-Moderate,Endoscopy;H. pylori test,Proton pump inhibitors;Diet modification,NSAID use;Alcohol,Gradual,Adults,Gastric mucosa inflammation
